"","target_taxon_name","...1","source_taxon_name","latitude","longitude","ISO_A2","NAME_ES","searched_taxon_name","country_name","Estatus.Taxonómico","Nombre.Válido","Autoridad","Rango.Taxonómico","Familia","Forma.biológica"
"555","Sphaeralcea",26,"Agapostemon angelicus",31.32907,-109.26553,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"556","Sphaeralcea",29,"Agapostemon angelicus",31.30972,-109.27778,"MX","MÃ©xico",NA,NA,NA,NA,NA,NA,NA,NA
"557","Sphaeralcea",58,"Agapostemon angelicus",31.3194,-109.27142,"MX","MÃ©xico",NA,NA,NA,NA,NA,NA,NA,NA
"558","Sphaeralcea",59,"Agapostemon angelicus",31.298213,-109.21942,"MX","MÃ©xico",NA,NA,NA,NA,NA,NA,NA,NA
"559","Sphaeralcea",89,"Agapostemon angelicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"560","Sphaeralcea",138,"Agapostemon angelicus",33.88889,-106.40689,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"561","Sphaeralcea",532,"Agapostemon angelicus",37.4856,-112.0982,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"562","Sphaeralcea",300,"Agapostemon angelicus",37.7645,-111.4046,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"563","Sphaeralcea",490,"Agapostemon angelicus",37.2941,-111.1414,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"564","Sphaeralcea",426,"Agapostemon angelicus",37.346,-111.2135,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"565","Sphaeralcea",478,"Agapostemon angelicus",37.2957,-112.2624,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"566","Sphaeralcea",491,"Agapostemon angelicus",37.3019,-111.1437,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"567","Sphaeralcea",654,"Agapostemon (Agapostemon) angelicus",31.83477,-113.3884,"MX","MÃ©xico",NA,NA,NA,NA,NA,NA,NA,NA
"568","Sphaeralcea angustifolia",126,"Agapostemon angelicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"569","Sphaeralcea angustifolia",153,"Agapostemon angelicus",35.21638,-109.33361,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"570","Sphaeralcea coccinea",439,"Agapostemon angelicus",37.3299,-112.0319,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"571","Sphaeralcea coccinea",189,"Agapostemon angelicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"572","Sphaeralcea coccinea",339,"Agapostemon angelicus",37.7787,-111.5326,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"573","Sphaeralcea coccinea",344,"Agapostemon angelicus",37.84737,-111.35395,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"574","Sphaeralcea coccinea",355,"Agapostemon angelicus",37.7808,-111.5353,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"575","Sphaeralcea coccinea",455,"Agapostemon angelicus",37.2941,-111.1414,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"576","Sphaeralcea emoryi",599,"Agapostemon (Agapostemon) angelicus",36.55,-110.57,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"577","Sphaeralcea grossulariifolia",363,"Agapostemon angelicus",37.7728,-111.4351,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"578","Sphaeralcea grossulariifolia",185,"Agapostemon angelicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"579","Sphaeralcea grossulariifolia",335,"Agapostemon angelicus",37.8303,-111.1069,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"580","Sphaeralcea grossulariifolia",345,"Agapostemon angelicus",37.9138,-111.2507,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"581","Sphaeralcea grossulariifolia",362,"Agapostemon angelicus",37.84737,-111.35395,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"582","Sphaeralcea grossulariifolia",309,"Agapostemon angelicus",37.7645,-111.4046,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"583","Sphaeralcea grossulariifolia",310,"Agapostemon angelicus",37.9272,-111.224,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"584","Sphaeralcea grossulariifolia",360,"Agapostemon angelicus",37.7693,-111.4352,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"585","Sphaeralcea grossulariifolia",405,"Agapostemon angelicus",37.9682,-111.1445,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"586","Sphaeralcea grossulariifolia",591,"Agapostemon angelicus",37.2207,-111.4677,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"587","Sphaeralcea grossulariifolia",472,"Agapostemon angelicus",37.3019,-111.1437,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"588","Sphaeralcea laxa",31,"Agapostemon angelicus",31.32389,-109.26861,"MX","MÃ©xico",NA,NA,NA,NA,NA,NA,NA,NA
"589","Sphaeralcea laxa",46,"Agapostemon angelicus",31.33056,-109.21,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"590","Sphaeralcea laxa",52,"Agapostemon angelicus",31.30972,-109.27778,"MX","MÃ©xico",NA,NA,NA,NA,NA,NA,NA,NA
"591","Sphaeralcea laxa",72,"Agapostemon angelicus",31.32507,-109.09158,"MX","MÃ©xico",NA,NA,NA,NA,NA,NA,NA,NA
"592","Sphaeralcea laxa",128,"Agapostemon angelicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"593","Sphaeralcea parvifolia",255,"Agapostemon angelicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"594","Sphaeralcea parvifolia",471,"Agapostemon angelicus",37.2634,-112.2565,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"595","Sphaeralcea pedatifida",610,"Agapostemon (Agapostemon) angelicus",27.0444,-99.4403,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"596","Stanleya pinnata",219,"Agapostemon angelicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"597","Stanleya pinnata",386,"Agapostemon angelicus",37.7645,-111.4046,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"598","Stanleya pinnata",395,"Agapostemon angelicus",37.5608,-111.3236,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"599","Stanleya pinnata",399,"Agapostemon angelicus",37.7894,-111.1682,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"600","Stanleya pinnata",587,"Agapostemon angelicus",37.3811,-111.1126,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"601","Stanleya pinnata",536,"Agapostemon angelicus",37.3603,-112.185,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"602","Stanleya pinnata",586,"Agapostemon angelicus",37.0844,-111.9288,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"603","Stephanomeria spinosa",235,"Agapostemon angelicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"604","Stephanomeria spinosa",390,"Agapostemon angelicus",37.7894,-111.1682,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"605","Symphoricarpos oreophilus",209,"Agapostemon angelicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"606","Symphoricarpos oreophilus",501,"Agapostemon angelicus",37.3001,-111.13506,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"607","Symphoricarpos oreophilus",516,"Agapostemon angelicus",37.2866,-111.121,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
"608","Symphyotrichum chilense",186,"Agapostemon angelicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"609","Symphyotrichum chilense",461,"Agapostemon angelicus",37.3324,-112.3404,"US","Estados Unidos",NA,NA,NA,NA,NA,NA,NA,NA
